checkpoint_step,batch_size,epsilon,mean_delta_loss,stderr_delta_loss,mean_loss_change,stderr_loss_change,n
100,128,0.001,0.0009874279499053839,8.756259434636361e-05,-0.0009874279499053839,8.756259434636361e-05,10
100,128,0.002,0.0019656766414642203,0.00017376675819725222,-0.0019656766414642203,0.00017376675819725222,10
100,128,0.003,0.002934722495079034,0.0002586057813646811,-0.002934722495079034,0.0002586057813646811,10
100,128,0.005,0.004845516061782828,0.0004242769433093538,-0.004845516061782828,0.0004242769433093538,10
100,128,0.007,0.006720126748085009,0.0005846338202305941,-0.006720126748085009,0.0005846338202305941,10
100,128,0.01,0.009464281535148621,0.0008152406689384872,-0.009464281535148621,0.0008152406689384872,10
100,128,0.015,0.013858929514884932,0.001173403193184226,-0.013858929514884932,0.001173403193184226,10
100,128,0.02,0.018032278370857226,0.0014996169106414228,-0.018032278370857226,0.0014996169106414228,10
100,128,0.03,0.025726067352294917,0.0020585430394185356,-0.025726067352294917,0.0020585430394185356,10
100,128,0.05,0.03855126450061797,0.0028137988886889993,-0.03855126450061797,0.0028137988886889993,10
100,128,0.07,0.048041390371322615,0.0031064284165120237,-0.048041390371322615,0.0031064284165120237,10
100,128,0.1,0.05616172573566436,0.0027558926345575894,-0.05616172573566436,0.0027558926345575894,10
100,128,0.15,0.05337926530838012,0.002242529921662953,-0.05337926530838012,0.002242529921662953,10
100,128,0.2,0.02905659494400023,0.008425416269031651,-0.02905659494400023,0.008425416269031651,10
100,128,0.3,-0.09185777468681337,0.035302818323010104,0.09185777468681337,0.035302818323010104,10
100,128,0.5,-0.6294119651079179,0.14040463013660187,0.6294119651079179,0.14040463013660187,10
100,128,1.0,-3.213644339227676,0.5506603926795868,3.213644339227676,0.5506603926795868,10
100,256,0.0001,0.00010057799816131086,7.61348926290341e-06,-0.00010057799816131086,7.61348926290341e-06,10
100,256,0.0003,0.0003013888835906864,2.2801016435605946e-05,-0.0003013888835906864,2.2801016435605946e-05,10
100,256,0.001,0.0010013367414474395,7.562416191181416e-05,-0.0010013367414474395,7.562416191181416e-05,10
100,256,0.002,0.0019938182592391883,0.00015021959357519046,-0.0019938182592391883,0.00015021959357519046,10
100,256,0.003,0.0029775336980819578,0.00022378066030934155,-0.0029775336980819578,0.00022378066030934155,10
100,256,0.005,0.004918626928329462,0.0003678219827055119,-0.004918626928329462,0.0003678219827055119,10
100,256,0.007,0.006825072431564322,0.0005078287739405477,-0.006825072431564322,0.0005078287739405477,10
100,256,0.01,0.009619735670089707,0.0007104213143177141,-0.009619735670089707,0.0007104213143177141,10
100,256,0.015,0.014104934191703795,0.0010286014682486311,-0.014104934191703795,0.0010286014682486311,10
100,256,0.02,0.018376857995986928,0.0013230980244415022,-0.018376857995986928,0.0013230980244415022,10
100,256,0.03,0.02629228317737579,0.0018431853646075204,-0.02629228317737579,0.0018431853646075204,10
100,256,0.05,0.03966523702144621,0.0026213936569328723,-0.03966523702144621,0.0026213936569328723,10
100,256,0.07,0.0498426643848419,0.003073261707331863,-0.0498426643848419,0.003073261707331863,10
100,256,0.1,0.059285906505584705,0.0032053117170062657,-0.059285906505584705,0.0032053117170062657,10
100,256,0.15,0.05976180489063263,0.0025120548723858017,-0.05976180489063263,0.0025120548723858017,10
100,256,0.2,0.04068503723144531,0.004090318816846927,-0.04068503723144531,0.004090318816846927,10
100,256,0.3,-0.06059712533950805,0.017266532893471326,0.06059712533950805,0.017266532893471326,10
100,256,0.5,-0.5277133587837219,0.06490919447675969,0.5277133587837219,0.06490919447675969,10
100,256,1.0,-2.794079040288925,0.23370267072657552,2.794079040288925,0.23370267072657552,10
100,512,0.0001,9.924046993254332e-05,6.046096801307465e-06,-9.924046993254332e-05,6.046096801307465e-06,10
100,512,0.0003,0.00029740536212919945,1.810622550658315e-05,-0.00029740536212919945,1.810622550658315e-05,10
100,512,0.001,0.0009884555339813195,6.0073736087569884e-05,-0.0009884555339813195,6.0073736087569884e-05,10
100,512,0.002,0.001969074320793146,0.0001193575484937931,-0.001969074320793146,0.0001193575484937931,10
100,512,0.003,0.002941912341117847,0.000177845057169374,-0.002941912341117847,0.000177845057169374,10
100,512,0.005,0.004864356637001027,0.0002924594757162143,-0.004864356637001027,0.0002924594757162143,10
100,512,0.007,0.006756184649467456,0.00040398096017255916,-0.006756184649467456,0.00040398096017255916,10
100,512,0.01,0.00953688514232635,0.0005655520891956747,-0.00953688514232635,0.0005655520891956747,10
100,512,0.015,0.01401958954334257,0.0008195844460170367,-0.01401958954334257,0.0008195844460170367,10
100,512,0.02,0.018314347314834577,0.0010550293895440254,-0.018314347314834577,0.0010550293895440254,10
100,512,0.03,0.02634778861999511,0.0014717909980143163,-0.02634778861999511,0.0014717909980143163,10
100,512,0.05,0.04024250807762144,0.0020991180602997566,-0.04024250807762144,0.0020991180602997566,10
100,512,0.07,0.05131187481880188,0.002467174904729497,-0.05131187481880188,0.002467174904729497,10
100,512,0.1,0.06277315492630005,0.002582157016560471,-0.06277315492630005,0.002582157016560471,10
100,512,0.15,0.06858973224163054,0.00201285946788249,-0.06858973224163054,0.00201285946788249,10
100,512,0.2,0.05777846720218658,0.0029676291240603703,-0.05777846720218658,0.0029676291240603703,10
100,512,0.3,-0.0168557370901108,0.013376193336450157,0.0168557370901108,0.013376193336450157,10
100,512,0.5,-0.3914723680496216,0.055307705895138726,0.3914723680496216,0.055307705895138726,10
100,512,1.0,-2.286619380235672,0.19833187106454078,2.286619380235672,0.19833187106454078,10
500,4,0.0001,1.6583502292627505e-05,1.7834821766605632e-05,-1.6583502292627505e-05,1.7834821766605632e-05,10
