checkpoint_step,batch_size,epsilon,sample_id,loss_before,loss_after,delta_loss
100,8,0.0003,3,0.4198776195049286,0.4198671088218689,1.0510683059683501e-05
100,8,0.001,3,0.4198776195049286,0.4198489422798157,2.867722511290527e-05
100,8,0.002,3,0.4198776195049286,0.4198384277820587,3.919172286986905e-05
100,8,0.003,3,0.4198776195049286,0.41984597301483156,3.164649009701481e-05
100,8,0.005,3,0.4198776195049286,0.4199160544872284,-3.843498229982867e-05
100,8,0.007,3,0.4198776195049286,0.4200612795352936,-0.0001836600303650182
100,8,0.01,3,0.4198776195049286,0.4204220213890076,-0.0005444018840790044
100,8,0.015,3,0.4198776195049286,0.4214036657810211,-0.0015260462760925408
100,8,0.02,3,0.4198776195049286,0.4228737804889679,-0.00299616098403932
100,8,0.03,3,0.4198776195049286,0.4273445143699646,-0.0074668948650360445
100,8,0.05,3,0.4198776195049286,0.4428338704109192,-0.022956250905990627
100,8,0.07,3,0.4198776195049286,0.46805893182754515,-0.048181312322616576
100,8,0.1,3,0.4198776195049286,0.5273442277908326,-0.10746660828590399
100,8,0.15,3,0.4198776195049286,0.6964463543891907,-0.2765687348842621
100,8,0.2,3,0.4198776195049286,0.96988365650177,-0.5500060369968414
100,8,0.3,3,0.4198776195049286,1.8406991748809813,-1.4208215553760528
100,8,0.5,3,0.4198776195049286,4.655537956237793,-4.235660336732864
100,8,1.0,3,0.4198776195049286,14.847622947692871,-14.427745328187942
100,8,0.0001,4,0.4198776195049286,0.41977379751205446,0.0001038219928741202
100,8,0.0003,4,0.4198776195049286,0.4195668888092041,0.0003107306957244593
100,8,0.001,4,0.4198776195049286,0.4188502423763275,0.0010273771286010702
100,8,0.002,4,0.4198776195049286,0.417846168756485,0.002031450748443575
100,8,0.003,4,0.4198776195049286,0.4168653130531311,0.003012306451797453
100,8,0.005,4,0.4198776195049286,0.41497364139556886,0.004903978109359719
100,8,0.007,4,0.4198776195049286,0.41317341876029967,0.006704200744628908
100,8,0.01,4,0.4198776195049286,0.4106451506614685,0.009232468843460073
100,8,0.015,4,0.4198776195049286,0.4068813943862915,0.012996225118637073
100,8,0.02,4,0.4198776195049286,0.4036668803691864,0.01621073913574217
100,8,0.03,4,0.4198776195049286,0.39883238935470583,0.02104523015022275
100,8,0.05,4,0.4198776195049286,0.39527829575538637,0.024599323749542212
100,8,0.07,4,0.4198776195049286,0.39960599231719973,0.020271627187728847
100,8,0.1,4,0.4198776195049286,0.42136586785316466,-0.0014882483482360764
100,8,0.15,4,0.4198776195049286,0.5026506524085999,-0.08277303290367127
100,8,0.2,4,0.4198776195049286,0.6433980145454407,-0.22352039504051208
100,8,0.3,4,0.4198776195049286,1.0839152402877807,-0.6640376207828522
100,8,0.5,4,0.4198776195049286,2.5219231719970705,-2.1020455524921418
100,8,1.0,4,0.4198776195049286,8.697424591064452,-8.277546971559524
100,8,0.0001,5,0.4198776195049286,0.4198770031929016,6.163120269686573e-07
100,8,0.0003,5,0.4198776195049286,0.41987578439712525,1.835107803327407e-06
100,8,0.001,5,0.4198776195049286,0.419872266292572,5.353212356562498e-06
100,8,0.002,5,0.4198776195049286,0.419868905544281,8.71396064755503e-06
100,8,0.003,5,0.4198776195049286,0.41986752820014955,1.00913047790252e-05
100,8,0.005,5,0.4198776195049286,0.4198705551624298,7.0643424987526515e-06
100,8,0.007,5,0.4198776195049286,0.4198813662528992,-3.7467479706010387e-06
100,8,0.01,5,0.4198776195049286,0.4199122364521027,-3.461694717410424e-05
100,8,0.015,5,0.4198776195049286,0.42000241589546206,-0.00012479639053347702
100,8,0.02,5,0.4198776195049286,0.4201410441398621,-0.00026342463493350676
100,8,0.03,5,0.4198776195049286,0.42056419897079467,-0.0006865794658660884
100,8,0.05,5,0.4198776195049286,0.4219953715801239,-0.0021177520751953227
100,8,0.07,5,0.4198776195049286,0.4242092878818512,-0.004331668376922615
100,8,0.1,5,0.4198776195049286,0.4290050745010376,-0.009127454996109008
100,8,0.15,5,0.4198776195049286,0.44102460622787476,-0.02114698672294618
100,8,0.2,5,0.4198776195049286,0.45819309329986574,-0.03831547379493716
100,8,0.3,5,0.4198776195049286,0.5084822115898132,-0.08860459208488464
100,8,0.5,5,0.4198776195049286,0.6731710114479065,-0.2532933919429779
100,8,1.0,5,0.4198776195049286,1.423230404853821,-1.0033527853488924
100,8,0.0001,6,0.4198776195049286,0.4197675340175629,0.00011008548736568535
100,8,0.0003,6,0.4198776195049286,0.4195489499568939,0.00032866954803467685
100,8,0.001,6,0.4198776195049286,0.4187994458675385,0.0010781736373901007
100,8,0.002,6,0.4198776195049286,0.4177687466144562,0.002108872890472402
100,8,0.003,6,0.4198776195049286,0.41678626894950865,0.003091350555419925
100,8,0.005,6,0.4198776195049286,0.4149680359363556,0.004909583568572962
100,8,0.007,6,0.4198776195049286,0.41333994030952453,0.006537679195404045
100,8,0.01,6,0.4198776195049286,0.41126680612564087,0.008610813379287707
100,8,0.015,6,0.4198776195049286,0.40878346347808836,0.011094156026840218
100,8,0.02,6,0.4198776195049286,0.4075112235546112,0.012366395950317355
100,8,0.03,6,0.4198776195049286,0.4087570734024048,0.011120546102523776
100,8,0.05,6,0.4198776195049286,0.42821714305877684,-0.00833952355384826
100,8,0.07,6,0.4198776195049286,0.4771746196746826,-0.05729700016975403
100,8,0.1,6,0.4198776195049286,0.637068790435791,-0.21719117093086243
100,8,0.15,6,0.4198776195049286,1.2341882257461547,-0.8143106062412262
100,8,0.2,6,0.4198776195049286,2.2314028396606447,-1.8115252201557162
100,8,0.3,6,0.4198776195049286,4.911358001708984,-4.491480382204055
100,8,0.5,6,0.4198776195049286,11.776142875671386,-11.356265256166457
100,8,1.0,6,0.4198776195049286,35.9922421875,-35.572364567995066
100,8,0.0001,7,0.4198776195049286,0.41950530219078064,0.0003723173141479408
100,8,0.0003,7,0.4198776195049286,0.4187703013420105,0.0011073181629180917
100,8,0.001,7,0.4198776195049286,0.41629754638671873,0.0035800731182098477
100,8,0.002,7,0.4198776195049286,0.41302725338935853,0.00685036611557005
100,8,0.003,7,0.4198776195049286,0.41006817173957827,0.00980944776535031
100,8,0.005,7,0.4198776195049286,0.40508678460121156,0.01479083490371702
